 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 9.00000E+02 eV = 3.30744E+01 a.u.
 #
 # Element:  S,  Z =  16,  atomic weight = 3.20660E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.39937E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 16
 #
 # Electron density: Read from file Data/z_016.d
 #                   Number of data points =  711
 #                   Volume integral = 1.60000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 1.15000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 2.90000E-24 cm**3
 #                            Bpol = 7.28869E+00
 #
 # Total elastic cross section = 1.50215E-16 cm**2 = 5.36429E+00 a0**2
 # 1st transport cross section = 1.54543E-17 cm**2 = 5.51884E-01 a0**2
 # 2nd transport cross section = 2.39470E-17 cm**2 = 8.55163E-01 a0**2
 #
 #    Absorption cross section = 8.82038E-17 cm**2 = 3.14982E+00 a0**2
 #   Grand total cross section = 2.38425E-16 cm**2 = 8.51431E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 3.67570E-15
7.61557E-13 3.67570E-15
1.18994E-12 3.67570E-15
1.71346E-12 3.67570E-15
2.33225E-12 3.67570E-15
3.04617E-12 3.67570E-15
3.85530E-12 3.67570E-15
4.75964E-12 3.67570E-15
5.75917E-12 3.67570E-15
6.85391E-12 3.67570E-15
8.04379E-12 3.67570E-15
9.32893E-12 3.67570E-15
1.07092E-11 3.67570E-15
1.21847E-11 3.67570E-15
1.37554E-11 3.67570E-15
1.54213E-11 3.67570E-15
1.71823E-11 3.67570E-15
1.90386E-11 3.67570E-15
2.09900E-11 3.67570E-15
2.30367E-11 3.67570E-15
2.51785E-11 3.67570E-15
2.74156E-11 3.67570E-15
2.97478E-11 3.67570E-15
3.21752E-11 3.67570E-15
3.46979E-11 3.67570E-15
3.73157E-11 3.67570E-15
4.00286E-11 3.67570E-15
4.28368E-11 3.67570E-15
4.57402E-11 3.67570E-15
4.87388E-11 3.67570E-15
5.18325E-11 3.67570E-15
5.50215E-11 3.67570E-15
5.83057E-11 3.67570E-15
6.16850E-11 3.67570E-15
6.51595E-11 3.67570E-15
6.87293E-11 3.67570E-15
7.23943E-11 3.67570E-15
7.61544E-11 3.67570E-15
1.18991E-10 3.67570E-15
1.71347E-10 3.67570E-15
2.33223E-10 3.67570E-15
3.04617E-10 3.67570E-15
3.85531E-10 3.67569E-15
4.75965E-10 3.67569E-15
5.75917E-10 3.67569E-15
6.85389E-10 3.67569E-15
8.04380E-10 3.67568E-15
9.32891E-10 3.67568E-15
1.07092E-09 3.67568E-15
1.21847E-09 3.67567E-15
1.37554E-09 3.67567E-15
1.54213E-09 3.67567E-15
1.71823E-09 3.67566E-15
1.90386E-09 3.67566E-15
2.09900E-09 3.67565E-15
2.30367E-09 3.67565E-15
2.51785E-09 3.67564E-15
2.74156E-09 3.67563E-15
2.97478E-09 3.67563E-15
3.21752E-09 3.67562E-15
3.46978E-09 3.67562E-15
3.73156E-09 3.67561E-15
4.00286E-09 3.67560E-15
4.28368E-09 3.67560E-15
4.57402E-09 3.67559E-15
4.87388E-09 3.67558E-15
5.18326E-09 3.67557E-15
5.50215E-09 3.67557E-15
5.83057E-09 3.67556E-15
6.16850E-09 3.67555E-15
6.51596E-09 3.67554E-15
6.87293E-09 3.67553E-15
7.23942E-09 3.67552E-15
7.61544E-09 3.67551E-15
1.18991E-08 3.67540E-15
