 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 3.00000E+02 eV = 1.10248E+01 a.u.
 #
 # Element: In,  Z =  49,  atomic weight = 1.14818E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.20060E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 49
 #
 # Electron density: Read from file Data/z_049.d
 #                   Number of data points =  841
 #                   Volume integral = 4.90000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 1.02000E-23 cm**3
 #                            Bpol = 3.95285E+00
 #
 # Total elastic cross section = 2.48173E-16 cm**2 = 8.86243E+00 a0**2
 # 1st transport cross section = 3.25357E-17 cm**2 = 1.16187E+00 a0**2
 # 2nd transport cross section = 5.62648E-17 cm**2 = 2.00925E+00 a0**2
 #
 #    Absorption cross section = 4.03950E-16 cm**2 = 1.44253E+01 a0**2
 #   Grand total cross section = 6.52131E-16 cm**2 = 2.32880E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 2.91661E-15
7.61557E-13 2.91661E-15
1.18994E-12 2.91661E-15
1.71346E-12 2.91661E-15
2.33225E-12 2.91661E-15
3.04617E-12 2.91661E-15
3.85530E-12 2.91661E-15
4.75964E-12 2.91661E-15
5.75917E-12 2.91661E-15
6.85391E-12 2.91661E-15
8.04379E-12 2.91661E-15
9.32893E-12 2.91661E-15
1.07092E-11 2.91661E-15
1.21847E-11 2.91661E-15
1.37554E-11 2.91661E-15
1.54213E-11 2.91661E-15
1.71823E-11 2.91661E-15
1.90386E-11 2.91661E-15
2.09900E-11 2.91661E-15
2.30367E-11 2.91661E-15
2.51785E-11 2.91661E-15
2.74156E-11 2.91661E-15
2.97478E-11 2.91661E-15
3.21752E-11 2.91661E-15
3.46979E-11 2.91661E-15
3.73157E-11 2.91661E-15
4.00286E-11 2.91661E-15
4.28368E-11 2.91661E-15
4.57402E-11 2.91661E-15
4.87388E-11 2.91660E-15
5.18325E-11 2.91660E-15
5.50215E-11 2.91660E-15
5.83057E-11 2.91660E-15
6.16850E-11 2.91660E-15
6.51595E-11 2.91660E-15
6.87293E-11 2.91660E-15
7.23943E-11 2.91660E-15
7.61544E-11 2.91660E-15
1.18991E-10 2.91660E-15
1.71347E-10 2.91660E-15
2.33223E-10 2.91660E-15
3.04617E-10 2.91660E-15
3.85531E-10 2.91660E-15
4.75965E-10 2.91660E-15
5.75917E-10 2.91660E-15
6.85389E-10 2.91660E-15
8.04380E-10 2.91659E-15
9.32891E-10 2.91659E-15
1.07092E-09 2.91659E-15
1.21847E-09 2.91659E-15
1.37554E-09 2.91658E-15
1.54213E-09 2.91658E-15
1.71823E-09 2.91658E-15
1.90386E-09 2.91658E-15
2.09900E-09 2.91657E-15
2.30367E-09 2.91657E-15
2.51785E-09 2.91657E-15
2.74156E-09 2.91656E-15
2.97478E-09 2.91656E-15
3.21752E-09 2.91656E-15
3.46978E-09 2.91655E-15
3.73156E-09 2.91655E-15
4.00286E-09 2.91654E-15
4.28368E-09 2.91654E-15
4.57402E-09 2.91654E-15
4.87388E-09 2.91653E-15
5.18326E-09 2.91653E-15
5.50215E-09 2.91652E-15
5.83057E-09 2.91652E-15
6.16850E-09 2.91651E-15
6.51596E-09 2.91651E-15
6.87293E-09 2.91650E-15
7.23942E-09 2.91649E-15
7.61544E-09 2.91649E-15
1.18991E-08 2.91642E-15
1.71347E-08 2.91634E-15
2.33223E-08 2.91625E-15
3.04617E-08 2.91614E-15
3.85531E-08 2.91602E-15
4.75965E-08 2.91588E-15
5.75917E-08 2.91572E-15
6.85389E-08 2.91556E-15
8.04380E-08 2.91538E-15
9.32891E-08 2.91518E-15
1.07092E-07 2.91497E-15
1.21847E-07 2.91474E-15
1.37554E-07 2.91450E-15
1.54213E-07 2.91425E-15
1.71823E-07 2.91398E-15
1.90386E-07 2.91370E-15
2.09900E-07 2.91340E-15
2.30367E-07 2.91309E-15
2.51785E-07 2.91276E-15
2.74156E-07 2.91242E-15
2.97478E-07 2.91206E-15
