 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 5.00000E+02 eV = 1.83747E+01 a.u.
 #
 # Element: In,  Z =  49,  atomic weight = 1.14818E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.20060E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 49
 #
 # Electron density: Read from file Data/z_049.d
 #                   Number of data points =  841
 #                   Volume integral = 4.90000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 1.02000E-23 cm**3
 #                            Bpol = 5.30330E+00
 #
 # Total elastic cross section = 3.57409E-16 cm**2 = 1.27633E+01 a0**2
 # 1st transport cross section = 7.98139E-17 cm**2 = 2.85021E+00 a0**2
 # 2nd transport cross section = 6.93800E-17 cm**2 = 2.47760E+00 a0**2
 #
 #    Absorption cross section = 2.51931E-16 cm**2 = 8.99663E+00 a0**2
 #   Grand total cross section = 6.09359E-16 cm**2 = 2.17606E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 1.34193E-14
7.61557E-13 1.34193E-14
1.18994E-12 1.34193E-14
1.71346E-12 1.34193E-14
2.33225E-12 1.34193E-14
3.04617E-12 1.34193E-14
3.85530E-12 1.34193E-14
4.75964E-12 1.34193E-14
5.75917E-12 1.34193E-14
6.85391E-12 1.34193E-14
8.04379E-12 1.34193E-14
9.32893E-12 1.34193E-14
1.07092E-11 1.34193E-14
1.21847E-11 1.34193E-14
1.37554E-11 1.34193E-14
1.54213E-11 1.34193E-14
1.71823E-11 1.34193E-14
1.90386E-11 1.34193E-14
2.09900E-11 1.34193E-14
2.30367E-11 1.34193E-14
2.51785E-11 1.34193E-14
2.74156E-11 1.34193E-14
2.97478E-11 1.34193E-14
3.21752E-11 1.34193E-14
3.46979E-11 1.34193E-14
3.73157E-11 1.34193E-14
4.00286E-11 1.34193E-14
4.28368E-11 1.34193E-14
4.57402E-11 1.34193E-14
4.87388E-11 1.34193E-14
5.18325E-11 1.34193E-14
5.50215E-11 1.34193E-14
5.83057E-11 1.34193E-14
6.16850E-11 1.34193E-14
6.51595E-11 1.34193E-14
6.87293E-11 1.34193E-14
7.23943E-11 1.34193E-14
7.61544E-11 1.34193E-14
1.18991E-10 1.34193E-14
1.71347E-10 1.34193E-14
2.33223E-10 1.34193E-14
3.04617E-10 1.34193E-14
