 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 3.50000E+03 eV = 1.28623E+02 a.u.
 #
 # Element: Eu,  Z =  63,  atomic weight = 1.51964E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.70993E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 63
 #
 # Electron density: Read from file Data/z_063.d
 #                   Number of data points =  849
 #                   Volume integral = 6.30000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 2.77000E-23 cm**3
 #                            Bpol = 1.46842E+01
 #
 # Total elastic cross section = 1.47538E-16 cm**2 = 5.26866E+00 a0**2
 # 1st transport cross section = 5.63898E-18 cm**2 = 2.01371E-01 a0**2
 # 2nd transport cross section = 1.15977E-17 cm**2 = 4.14162E-01 a0**2
 #
 #    Absorption cross section = 6.05203E-17 cm**2 = 2.16122E+00 a0**2
 #   Grand total cross section = 2.08080E-16 cm**2 = 7.43066E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 3.46306E-15
7.61557E-13 3.46306E-15
1.18994E-12 3.46306E-15
1.71346E-12 3.46306E-15
2.33225E-12 3.46306E-15
3.04617E-12 3.46306E-15
3.85530E-12 3.46307E-15
4.75964E-12 3.46307E-15
5.75917E-12 3.46307E-15
6.85391E-12 3.46307E-15
8.04379E-12 3.46307E-15
9.32893E-12 3.46307E-15
1.07092E-11 3.46307E-15
1.21847E-11 3.46307E-15
1.37554E-11 3.46307E-15
1.54213E-11 3.46307E-15
1.71823E-11 3.46307E-15
1.90386E-11 3.46307E-15
2.09900E-11 3.46307E-15
2.30367E-11 3.46307E-15
2.51785E-11 3.46307E-15
2.74156E-11 3.46308E-15
2.97478E-11 3.46308E-15
3.21752E-11 3.46308E-15
3.46979E-11 3.46308E-15
3.73157E-11 3.46308E-15
4.00286E-11 3.46308E-15
4.28368E-11 3.46308E-15
4.57402E-11 3.46308E-15
4.87388E-11 3.46308E-15
5.18325E-11 3.46309E-15
5.50215E-11 3.46309E-15
5.83057E-11 3.46309E-15
6.16850E-11 3.46309E-15
6.51595E-11 3.46309E-15
6.87293E-11 3.46309E-15
7.23943E-11 3.46310E-15
7.61544E-11 3.46310E-15
1.18991E-10 3.46312E-15
1.71347E-10 3.46314E-15
2.33223E-10 3.46317E-15
3.04617E-10 3.46320E-15
3.85531E-10 3.46323E-15
4.75965E-10 3.46327E-15
5.75917E-10 3.46332E-15
6.85389E-10 3.46336E-15
8.04380E-10 3.46342E-15
9.32891E-10 3.46347E-15
1.07092E-09 3.46353E-15
1.21847E-09 3.46360E-15
1.37554E-09 3.46367E-15
1.54213E-09 3.46374E-15
1.71823E-09 3.46382E-15
1.90386E-09 3.46390E-15
2.09900E-09 3.46398E-15
2.30367E-09 3.46407E-15
2.51785E-09 3.46417E-15
2.74156E-09 3.46427E-15
2.97478E-09 3.46437E-15
