 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 4.00000E+02 eV = 1.46997E+01 a.u.
 #
 # Element: Ne,  Z =  10,  atomic weight = 2.01797E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.91310E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 10
 #
 # Electron density: Read from file Data/z_010.d
 #                   Number of data points =  649
 #                   Volume integral = 1.00000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 1.66200E+01 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 3.95600E-25 cm**3
 #                            Bpol = 4.67707E+00
 #
 # Total elastic cross section = 9.00322E-17 cm**2 = 3.21511E+00 a0**2
 # 1st transport cross section = 2.59915E-17 cm**2 = 9.28173E-01 a0**2
 # 2nd transport cross section = 3.49803E-17 cm**2 = 1.24917E+00 a0**2
 #
 #    Absorption cross section = 4.56043E-17 cm**2 = 1.62856E+00 a0**2
 #   Grand total cross section = 1.35638E-16 cm**2 = 4.84373E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 3.32512E-16
7.61557E-13 3.32512E-16
1.18994E-12 3.32512E-16
1.71346E-12 3.32512E-16
2.33225E-12 3.32512E-16
3.04617E-12 3.32512E-16
3.85530E-12 3.32512E-16
4.75964E-12 3.32512E-16
5.75917E-12 3.32512E-16
6.85391E-12 3.32512E-16
8.04379E-12 3.32512E-16
9.32893E-12 3.32512E-16
1.07092E-11 3.32512E-16
1.21847E-11 3.32512E-16
1.37554E-11 3.32512E-16
1.54213E-11 3.32512E-16
1.71823E-11 3.32512E-16
1.90386E-11 3.32512E-16
2.09900E-11 3.32512E-16
2.30367E-11 3.32512E-16
2.51785E-11 3.32512E-16
2.74156E-11 3.32512E-16
2.97478E-11 3.32512E-16
3.21752E-11 3.32512E-16
3.46979E-11 3.32512E-16
3.73157E-11 3.32512E-16
4.00286E-11 3.32512E-16
4.28368E-11 3.32512E-16
4.57402E-11 3.32512E-16
4.87388E-11 3.32512E-16
5.18325E-11 3.32512E-16
5.50215E-11 3.32512E-16
5.83057E-11 3.32512E-16
6.16850E-11 3.32512E-16
6.51595E-11 3.32512E-16
6.87293E-11 3.32512E-16
7.23943E-11 3.32512E-16
7.61544E-11 3.32512E-16
1.18991E-10 3.32512E-16
1.71347E-10 3.32512E-16
2.33223E-10 3.32512E-16
3.04617E-10 3.32512E-16
