 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 8.00000E+02 eV = 2.93995E+01 a.u.
 #
 # Element: Fe,  Z =  26,  atomic weight = 5.58450E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.08989E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 26
 #
 # Electron density: Read from file Data/z_026.d
 #                   Number of data points =  763
 #                   Volume integral = 2.60000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 1.10240E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 8.40000E-24 cm**3
 #                            Bpol = 6.84653E+00
 #
 # Total elastic cross section = 1.35969E-16 cm**2 = 4.85554E+00 a0**2
 # 1st transport cross section = 1.13228E-17 cm**2 = 4.04344E-01 a0**2
 # 2nd transport cross section = 2.21446E-17 cm**2 = 7.90800E-01 a0**2
 #
 #    Absorption cross section = 1.33880E-16 cm**2 = 4.78093E+00 a0**2
 #   Grand total cross section = 2.69854E-16 cm**2 = 9.63667E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 9.75051E-16
7.61557E-13 9.75051E-16
1.18994E-12 9.75051E-16
1.71346E-12 9.75051E-16
2.33225E-12 9.75051E-16
3.04617E-12 9.75051E-16
3.85530E-12 9.75051E-16
4.75964E-12 9.75051E-16
5.75917E-12 9.75051E-16
6.85391E-12 9.75051E-16
8.04379E-12 9.75051E-16
9.32893E-12 9.75051E-16
1.07092E-11 9.75051E-16
1.21847E-11 9.75051E-16
1.37554E-11 9.75051E-16
1.54213E-11 9.75051E-16
1.71823E-11 9.75051E-16
1.90386E-11 9.75051E-16
2.09900E-11 9.75051E-16
2.30367E-11 9.75051E-16
2.51785E-11 9.75051E-16
2.74156E-11 9.75051E-16
2.97478E-11 9.75051E-16
3.21752E-11 9.75051E-16
3.46979E-11 9.75051E-16
3.73157E-11 9.75051E-16
4.00286E-11 9.75051E-16
4.28368E-11 9.75051E-16
4.57402E-11 9.75051E-16
4.87388E-11 9.75051E-16
5.18325E-11 9.75051E-16
5.50215E-11 9.75051E-16
5.83057E-11 9.75051E-16
6.16850E-11 9.75051E-16
6.51595E-11 9.75051E-16
6.87293E-11 9.75051E-16
7.23943E-11 9.75051E-16
7.61544E-11 9.75051E-16
1.18991E-10 9.75051E-16
1.71347E-10 9.75050E-16
2.33223E-10 9.75050E-16
3.04617E-10 9.75050E-16
3.85531E-10 9.75050E-16
4.75965E-10 9.75049E-16
5.75917E-10 9.75049E-16
6.85389E-10 9.75049E-16
8.04380E-10 9.75048E-16
9.32891E-10 9.75048E-16
1.07092E-09 9.75047E-16
1.21847E-09 9.75047E-16
1.37554E-09 9.75046E-16
1.54213E-09 9.75046E-16
1.71823E-09 9.75045E-16
1.90386E-09 9.75044E-16
2.09900E-09 9.75044E-16
2.30367E-09 9.75043E-16
2.51785E-09 9.75042E-16
2.74156E-09 9.75041E-16
2.97478E-09 9.75041E-16
3.21752E-09 9.75040E-16
3.46978E-09 9.75039E-16
3.73156E-09 9.75038E-16
4.00286E-09 9.75037E-16
4.28368E-09 9.75036E-16
4.57402E-09 9.75035E-16
4.87388E-09 9.75034E-16
5.18326E-09 9.75033E-16
5.50215E-09 9.75032E-16
5.83057E-09 9.75031E-16
6.16850E-09 9.75029E-16
6.51596E-09 9.75028E-16
6.87293E-09 9.75027E-16
7.23942E-09 9.75026E-16
7.61544E-09 9.75024E-16
1.18991E-08 9.75009E-16
1.71347E-08 9.74991E-16
2.33223E-08 9.74969E-16
3.04617E-08 9.74944E-16
3.85531E-08 9.74916E-16
4.75965E-08 9.74884E-16
5.75917E-08 9.74850E-16
6.85389E-08 9.74812E-16
